,Year,CPPI EURO AREA,CPPI PT
9,2009,98.88493263396938,112.33
10,2010,97.84444124358036,110.05
11,2011,99.99999999999999,105.52
12,2012,99.71166976461961,96.43
13,2013,98.68811795010741,93.15
14,2014,99.84353267074036,96.59
15,2015,101.89506836618013,100.0
16,2016,107.30023706658281,101.98
17,2017,112.37683942810784,105.38
18,2018,116.88732154921786,110.52
19,2019,122.06499016724163,113.94
20,2020,124.01480381854118,117.16
21,2021,124.75124960197097,123.17
22,2022,125.53185986927178,128.4
23,2023,115.55591819959805,135.47
