,Date,Deposit facility,Main refinancing,Marginal lending facility
0,2025-06-11,2.0,2.15,2.4
1,2025-04-23,2.25,2.4,2.65
2,2025-03-12,2.5,2.65,2.9
3,2025-02-05,2.75,2.9,3.15
4,2024-12-18,3.0,3.15,3.4
5,2024-10-23,3.25,3.4,3.65
6,2024-09-18,3.5,3.65,3.9
7,2024-06-12,3.75,4.25,4.5
8,2023-09-20,4.0,4.5,4.75
9,2023-08-02,3.75,4.25,4.5
10,2023-06-21,3.5,4.0,4.25
11,2023-05-10,3.25,3.75,4.0
12,2023-03-22,3.0,3.5,3.75
13,2023-02-08,2.5,3.0,3.25
14,2022-12-21,2.0,2.5,2.75
15,2022-11-02,1.5,2.0,2.25
16,2022-09-14,0.75,1.25,1.5
17,2022-07-27,0.0,0.5,0.75
18,2019-09-18,-0.5,0.0,0.25
19,2016-03-16,-0.4,0.0,0.25
20,2015-12-09,-0.3,0.05,0.3
